# age_ma,DST_anomaly_K,GMSST_anomaly_K,GMST_anomaly_K,BSL_m,R_LI_Wm2,CO2_ppm,R_CO2_Wm2,S_CO2_LI_K_per_Wm2
3.612,1.39,2.78,4.03,8,0.5592300399,451.84,2.598532563,1.276220067
3.613,1.405,2.81,4.07,5,0.3426315003,449.535,2.571170418,1.396800508
3.614,1.305,2.61,3.82,5,0.3426315003,446.239,2.531799595,1.328958626
3.615,1.355,2.71,3.95,2,0.1343468725,442.812,2.490554401,1.504818501
3.616,1.19,2.38,3.51,2,0.1343468725,442.017,2.480940676,1.342108634
3.617,1.36,2.72,3.95,-15,-0.8995756097,438.582,2.439202398,2.565556816
3.618,1.355,2.71,3.93,-24,-1.355489089,435.817,2.405367045,3.743292236
3.619,1.37,2.74,3.97,-33,-1.755832221,432.814,2.36837524,6.481177442
3.62,1.395,2.79,4.02,-43,-2.14275087,429.19,2.323390497,22.25425324
3.621,1.355,2.71,3.93,-40,-2.032616494,425.573,2.278112296,16.00842038
3.622,1.335,2.67,3.87,-38,-1.956432734,422.434,2.238504777,13.71989919
3.623,1.35,2.7,3.9,-37,-1.917488009,419.553,2.201892786,13.71284984
3.624,1.38,2.76,3.97,-38,-1.956432734,416.999,2.169225499,18.65664936
3.625,1.4,2.8,4.03,-37,-1.917488009,414.176,2.132883915,18.70973359
3.626,1.42,2.84,4.07,-46,-2.248112458,411.441,2.097438173,-27.01190838
3.627,1.405,2.81,4.03,-53,-2.476638538,409.486,2.071956565,-9.958437163
3.628,1.375,2.75,3.96,-58,-2.626257331,407.694,2.048492419,-6.853998784
3.629,1.355,2.71,3.91,-65,-2.818844283,406.351,2.030839694,-4.961900033
3.63,1.345,2.69,3.89,-71,-2.970163235,405.843,2.024147203,-4.111981056
3.631,1.33,2.66,3.85,-64,-2.792447362,406.588,2.033959116,-5.07588617
3.632,1.325,2.65,3.84,-57,-2.597181069,408.204,2.055180756,-7.084866765
3.633,1.325,2.65,3.83,-51,-2.413710025,410.964,2.091232106,-11.87678216
3.634,1.315,2.63,3.81,-44,-2.17839078,413.558,2.124895115,-71.2207235
3.635,1.32,2.64,3.82,-37,-1.917488009,416.319,2.160494136,15.71976828
3.636,1.255,2.51,3.66,-26,-1.449046214,418.548,2.189061988,4.945840524
3.637,1.285,2.57,3.73,-20,-1.160076618,421.479,2.226396296,3.498012909
3.638,1.305,2.61,3.78,-13,-0.7901137961,424.197,2.260786181,2.570252926
3.639,1.295,2.59,3.75,-4,-0.2581659283,426.976,2.295720802,1.840441231
3.64,1.285,2.57,3.73,2,0.1343468725,429.54,2.327751589,1.514967845
3.641,1.25,2.5,3.64,6,0.4138963161,431.581,2.353112416,1.315500005
3.642,1.24,2.48,3.61,10,0.7083572001,433.609,2.378193196,1.169590493
3.643,1.275,2.55,3.72,12,0.8613433732,435.279,2.398758587,1.141068606
3.644,1.31,2.62,3.8,14,1.018254135,438.133,2.433722509,1.100818572
3.645,1.32,2.64,3.84,17,1.261122332,440.275,2.459814536,1.03199816
3.646,1.355,2.71,3.93,15,1.09820173,441.881,2.479294332,1.098533704
3.647,1.345,2.69,3.92,15,1.09820173,443.075,2.493730991,1.091334472
3.648,1.34,2.68,3.92,14,1.018254135,444.134,2.506502847,1.112133409
3.649,1.345,2.69,3.92,13,0.9393040821,445.329,2.520878383,1.132888233
3.65,1.33,2.66,3.9,13,0.9393040821,446.332,2.532914465,1.123201189
3.651,1.37,2.74,3.99,10,0.7083572001,447.065,2.541693431,1.227673182
3.652,1.37,2.74,3.99,8,0.5592300399,447.321,2.54475609,1.285443888
3.653,1.36,2.72,3.97,7,0.4860930969,447.745,2.549824767,1.307677012
3.654,1.345,2.69,3.93,5,0.3426315003,447.94,2.552154269,1.357613417
3.655,1.33,2.66,3.89,4,0.2722904524,447.1,2.542112257,1.382176043
3.656,1.31,2.62,3.84,1,0.06672794636,443.892,2.503586941,1.493980375
3.657,1.31,2.62,3.84,-4,-0.2581659283,440.642,2.464272278,1.740623248
3.658,1.315,2.63,3.85,-11,-0.6775470979,436.943,2.419171764,2.210579624
3.659,1.155,2.31,3.44,-9,-0.5618099385,434.221,2.385738915,1.886038352
3.66,1.3,2.6,3.81,-24,-1.355489089,429.955,2.332917995,3.897981711
3.661,1.31,2.62,3.84,-29,-1.584379948,426.718,2.29248709,5.422908163
